rotten_tomatoes_link,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,release_year,streaming_release_year,release_month,streaming_month
m/10009066-la_graine_et_le_mulet,Fresh,93.0,54.0,Upright,76.0,9062.0,19,50,4,2007,2017,9,5
m/10009083-land_of_the_lost,Rotten,26.0,190.0,Spilled,32.0,542684.0,50,49,141,2009,2015,6,12
m/10009132-rec,Fresh,89.0,37.0,Upright,82.0,50437.0,5,34,4,2007,2012,11,4
m/10009138-look,Fresh,60.0,35.0,Spilled,56.0,709.0,11,21,14,2007,2009,12,5
m/1000915-and_god_created_woman,Rotten,38.0,8.0,Spilled,33.0,1598.0,1,3,5,1988,2016,1,1
m/10009151-box,Rotten,44.0,155.0,Spilled,24.0,359098.0,30,68,87,2009,2011,11,8
m/10009169-man_in_the_chair,Rotten,50.0,36.0,Upright,68.0,931.0,15,18,18,2007,2016,12,9
m/10009172-undoing,Rotten,31.0,13.0,Spilled,26.0,372.0,5,4,9,2006,2017,6,3
m/10009176-black_water,Fresh,80.0,20.0,Spilled,39.0,3952.0,8,16,4,2008,2012,2,4
m/10009192-21,Rotten,35.0,170.0,Upright,66.0,367852.0,40,60,110,2008,2012,3,4
m/10009210-duchess_of_langeais,Fresh,70.0,66.0,Spilled,52.0,865.0,30,46,20,2007,2017,2,4
m/10009212-ben_x,Fresh,68.0,38.0,Upright,80.0,6744.0,15,26,12,2007,2017,9,1
m/10009225-body_of_lies,Rotten,55.0,213.0,Upright,62.0,130010.0,54,117,96,2008,2010,10,9
m/10009239-passengers,Rotten,19.0,31.0,Spilled,35.0,29523.0,11,6,25,2008,2014,10,1
m/10009244-the_grand,Rotten,40.0,43.0,Spilled,43.0,3058.0,17,17,26,2008,2015,1,11
m/10009253-the_hammer,Fresh,80.0,40.0,Upright,90.0,4944.0,17,32,8,2007,2016,4,8
m/10009254-shutter,Rotten,9.0,66.0,Spilled,33.0,241178.0,13,6,60,2008,2016,3,8
m/10009274-priest,Rotten,15.0,100.0,Spilled,46.0,86623.0,18,15,85,2011,2012,5,4
m/10009334-the_escapist,Fresh,64.0,45.0,Upright,63.0,14816.0,13,29,16,2008,2017,1,4
m/10009355-sugar,Fresh,92.0,137.0,Upright,80.0,12642.0,45,126,11,2008,2012,1,4
m/10009420-quid_pro_quo,Fresh,61.0,36.0,Spilled,54.0,1775.0,17,22,14,2008,2016,1,8
m/10009421-red,Fresh,70.0,27.0,Upright,68.0,2607.0,11,19,8,2008,2016,8,7
m/10009426-guitar,Rotten,33.0,18.0,Spilled,55.0,1058.0,10,6,12,2008,2009,11,2
m/10009460-the_road,Fresh,73.0,215.0,Upright,68.0,248465.0,53,158,57,2009,2012,11,4
m/10009462-g_force,Rotten,22.0,127.0,Spilled,39.0,964669.0,37,28,99,2009,2016,7,6
